M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   before Check: BotEotInstr : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: BotEotInstr : M=1568.27mb, Malloc-M=463mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: VPSetup : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: VPSetup : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: VPReset : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: VPReset : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: InitApp : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   after  Check: InitApp : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   before Check: FormalModel : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: Setup : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: Setup : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: Flatten : M=1568.27mb, Malloc-M=463mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: Modeling : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1568.27mb, Malloc-M=472mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
